date,SlowD,SlowK
2020-01-08 13:18:00,50.7362,20.5527
2020-01-08 13:19:00,24.3781,3.023
2020-01-08 13:20:00,10.3026,7.3321
2020-01-08 13:21:00,5.4554,6.0111
2020-01-08 13:22:00,8.2321,11.3532
2020-01-08 13:23:00,14.54,26.2557
2020-01-08 13:24:00,27.9011,46.0945
2020-01-08 13:25:00,43.4311,57.9431
2020-01-08 13:26:00,58.4079,71.1861
2020-01-08 13:27:00,71.2235,84.5413
2020-01-08 13:28:00,84.2221,96.9389
2020-01-08 13:29:00,91.2644,92.3128
2020-01-08 13:30:00,92.2397,87.4675
2020-01-08 13:31:00,87.2831,82.0691
2020-01-08 13:32:00,84.6444,84.3965
2020-01-08 13:33:00,85.2822,89.3811
2020-01-08 13:34:00,89.2635,94.0128
2020-01-08 13:35:00,85.4557,72.9732
2020-01-08 13:36:00,72.6748,51.0384
2020-01-08 13:37:00,53.1171,35.3397
2020-01-08 13:38:00,43.4079,43.8456
2020-01-08 13:39:00,39.3326,38.8126
2020-01-08 13:40:00,42.6502,45.2925
2020-01-08 13:41:00,40.5284,37.4801
2020-01-08 13:42:00,44.3116,50.1621
2020-01-08 13:43:00,47.9985,56.3532
2020-01-08 13:44:00,60.4178,74.7381
2020-01-08 13:45:00,69.1395,76.327
2020-01-08 13:46:00,71.2176,62.5875
2020-01-08 13:47:00,62.751,49.3384
2020-01-08 13:48:00,49.6537,37.0352
2020-01-08 13:49:00,38.3167,28.5766
2020-01-08 13:50:00,28.8521,20.9447
2020-01-08 13:51:00,25.3882,26.6432
2020-01-08 13:52:00,28.9835,39.3625
2020-01-08 13:53:00,36.3332,42.9939
2020-01-08 13:54:00,39.5212,36.2072
2020-01-08 13:55:00,35.9031,28.5082
2020-01-08 13:56:00,32.9811,34.2277
2020-01-08 13:57:00,33.6099,38.0936
2020-01-08 13:58:00,38.1675,42.1812
2020-01-08 13:59:00,35.6346,26.6291
2020-01-08 14:00:00,30.9585,24.0651
2020-01-08 14:01:00,23.4494,19.6539
2020-01-08 14:02:00,21.995,22.2658
2020-01-08 14:03:00,24.1806,30.6221
2020-01-08 14:04:00,34.9083,51.8371
2020-01-08 14:05:00,50.7169,69.6914
2020-01-08 14:06:00,68.2912,83.345
2020-01-08 14:07:00,78.5101,82.4939
2020-01-08 14:08:00,84.3511,87.2144
2020-01-08 14:09:00,86.045,88.4268
2020-01-08 14:10:00,86.2912,83.2325
2020-01-08 14:11:00,78.5414,63.9651
2020-01-08 14:12:00,67.0643,53.9954
2020-01-08 14:13:00,58.5047,57.5535
2020-01-08 14:14:00,61.8883,74.1159
2020-01-08 14:15:00,67.501,70.8335
2020-01-08 14:16:00,70.6423,66.9775
2020-01-08 14:17:00,69.617,71.0399
2020-01-08 14:18:00,67.1249,63.3574
2020-01-08 14:19:00,60.6716,47.6175
2020-01-08 14:20:00,43.3806,19.1668
2020-01-08 14:21:00,28.4534,18.5758
2020-01-08 14:22:00,19.414,20.4993
2020-01-08 14:23:00,26.9317,41.72
2020-01-08 14:24:00,34.1933,40.3606
2020-01-08 14:25:00,41.0982,41.214
2020-01-08 14:26:00,38.3653,33.5213
2020-01-08 14:27:00,39.7839,44.6166
2020-01-08 14:28:00,40.2453,42.5982
2020-01-08 14:29:00,39.2672,30.5868
2020-01-08 14:30:00,31.171,20.3279
2020-01-08 14:31:00,21.0292,12.1728
2020-01-08 14:32:00,18.088,21.7632
2020-01-08 14:33:00,22.0395,32.1826
2020-01-08 14:34:00,38.7366,62.264
2020-01-08 14:35:00,58.0576,79.7263
2020-01-08 14:36:00,78.3033,92.9195
2020-01-08 14:37:00,79.0759,64.582
2020-01-08 14:38:00,65.3016,38.4035
2020-01-08 14:39:00,36.5831,6.7638
2020-01-08 14:40:00,18.4886,10.2984
2020-01-08 14:41:00,13.4189,23.1944
2020-01-08 14:42:00,28.6455,52.4436
2020-01-08 14:43:00,49.3316,72.3569
2020-01-08 14:44:00,69.5278,83.783
2020-01-08 14:45:00,78.3023,78.767
2020-01-08 14:46:00,78.2958,72.3373
2020-01-08 14:47:00,66.3931,48.075
2020-01-08 14:48:00,56.2482,48.3324
2020-01-08 14:49:00,48.0282,47.6772
2020-01-08 14:50:00,52.6213,61.8545
2020-01-08 14:51:00,54.5575,54.1409
2020-01-08 14:52:00,55.9191,51.7619
2020-01-08 14:53:00,57.8098,67.5265
2020-01-08 14:54:00,65.6379,77.6252
