date,OBV
2020-01-08 14:00:00,6182700.0
2020-01-08 14:01:00,6128882.0
2020-01-08 14:02:00,6100628.0
2020-01-08 14:03:00,6127217.0
2020-01-08 14:04:00,6176808.0
2020-01-08 14:05:00,6149719.0
2020-01-08 14:06:00,6188297.0
2020-01-08 14:07:00,6217339.0
2020-01-08 14:08:00,6251124.0
2020-01-08 14:09:00,6283109.0
2020-01-08 14:10:00,6256278.0
2020-01-08 14:11:00,6231212.0
2020-01-08 14:12:00,6251903.0
2020-01-08 14:13:00,6286696.0
2020-01-08 14:14:00,6244361.0
2020-01-08 14:15:00,6228113.0
2020-01-08 14:16:00,6254674.0
2020-01-08 14:17:00,6296562.0
2020-01-08 14:18:00,6252882.0
2020-01-08 14:19:00,6232295.0
2020-01-08 14:20:00,6202087.0
2020-01-08 14:21:00,6229478.0
2020-01-08 14:22:00,6249019.0
2020-01-08 14:23:00,6277278.0
2020-01-08 14:24:00,6254167.0
2020-01-08 14:25:00,6274250.0
2020-01-08 14:26:00,6297101.0
2020-01-08 14:27:00,6320948.0
2020-01-08 14:28:00,6291102.0
2020-01-08 14:29:00,6265776.0
2020-01-08 14:30:00,6219002.0
2020-01-08 14:31:00,6190611.0
2020-01-08 14:32:00,6217053.0
2020-01-08 14:33:00,6240058.0
2020-01-08 14:34:00,6267137.0
2020-01-08 14:35:00,6239526.0
2020-01-08 14:36:00,6277897.0
2020-01-08 14:37:00,6230826.0
2020-01-08 14:38:00,6199213.0
2020-01-08 14:39:00,6165830.0
2020-01-08 14:40:00,6137106.0
2020-01-08 14:41:00,6161098.0
2020-01-08 14:42:00,6214474.0
2020-01-08 14:43:00,6169270.0
2020-01-08 14:44:00,6195242.0
2020-01-08 14:45:00,6168870.0
2020-01-08 14:46:00,6140750.0
2020-01-08 14:47:00,6105059.0
2020-01-08 14:48:00,6133213.0
2020-01-08 14:49:00,6109631.0
2020-01-08 14:50:00,6165752.0
2020-01-08 14:51:00,6200274.0
2020-01-08 14:52:00,6175718.0
2020-01-08 14:53:00,6199708.0
2020-01-08 14:54:00,6271657.0
2020-01-08 14:55:00,6242755.0
2020-01-08 14:56:00,6294036.0
2020-01-08 14:57:00,6339010.0
2020-01-08 14:58:00,6370516.0
2020-01-08 14:59:00,6420944.0
2020-01-08 15:00:00,6455733.0
2020-01-08 15:01:00,6552632.0
2020-01-08 15:02:00,6696073.0
2020-01-08 15:03:00,6754900.0
2020-01-08 15:04:00,6796184.0
2020-01-08 15:05:00,6885931.0
2020-01-08 15:06:00,6971161.0
2020-01-08 15:07:00,7052191.0
2020-01-08 15:08:00,7149629.0
2020-01-08 15:09:00,7242058.0
2020-01-08 15:10:00,7144734.0
2020-01-08 15:11:00,7208928.0
2020-01-08 15:12:00,7162757.0
2020-01-08 15:13:00,7216377.0
2020-01-08 15:14:00,7360901.0
2020-01-08 15:15:00,7263648.0
2020-01-08 15:16:00,7164472.0
2020-01-08 15:17:00,7095738.0
2020-01-08 15:18:00,7148510.0
2020-01-08 15:19:00,7200137.0
2020-01-08 15:20:00,7262946.0
2020-01-08 15:21:00,7210261.0
2020-01-08 15:22:00,7263924.0
2020-01-08 15:23:00,7413503.0
2020-01-08 15:24:00,7483721.0
2020-01-08 15:25:00,7586878.0
2020-01-08 15:26:00,7667164.0
2020-01-08 15:27:00,7607394.0
2020-01-08 15:28:00,7669682.0
2020-01-08 15:29:00,7715159.0
2020-01-08 15:30:00,7670837.0
2020-01-08 15:31:00,7583036.0
2020-01-08 15:32:00,7648081.0
2020-01-08 15:33:00,7714720.0
2020-01-08 15:34:00,7663931.0
2020-01-08 15:35:00,7712185.0
2020-01-08 15:36:00,7666269.0
2020-01-08 15:37:00,7721743.0
2020-01-08 15:38:00,7816034.0
2020-01-08 15:39:00,7925593.0
2020-01-08 15:40:00,8045198.0
2020-01-08 15:41:00,8143404.0
2020-01-08 15:42:00,7991454.0
2020-01-08 15:43:00,7921648.0
2020-01-08 15:44:00,7837716.0
2020-01-08 15:45:00,7731402.0
2020-01-08 15:46:00,7607546.0
2020-01-08 15:47:00,7415639.0
2020-01-08 15:48:00,7644312.0
2020-01-08 15:49:00,7489449.0
2020-01-08 15:50:00,7254414.0
2020-01-08 15:51:00,7254414.0
2020-01-08 15:52:00,7111615.0
2020-01-08 15:53:00,7297123.0
2020-01-08 15:54:00,7133532.0
2020-01-08 15:55:00,7344623.0
2020-01-08 15:56:00,7560389.0
2020-01-08 15:57:00,7391873.0
2020-01-08 15:58:00,7539453.0
2020-01-08 15:59:00,7779365.0
2020-01-08 16:00:00,8159537.0
2020-01-09 09:31:00,10111085.0
2020-01-09 09:32:00,10468926.0
2020-01-09 09:33:00,10718835.0
2020-01-09 09:34:00,11060392.0
2020-01-09 09:35:00,10731954.0
2020-01-09 09:36:00,10478929.0
2020-01-09 09:37:00,10208165.0
2020-01-09 09:38:00,10519301.0
2020-01-09 09:39:00,10818054.0
2020-01-09 09:40:00,11032893.0
2020-01-09 09:41:00,10788772.0
2020-01-09 09:42:00,10568546.0
2020-01-09 09:43:00,10810280.0
2020-01-09 09:44:00,11033696.0
2020-01-09 09:45:00,11287394.0
2020-01-09 09:46:00,11521185.0
2020-01-09 09:47:00,11286280.0
2020-01-09 09:48:00,10998068.0
2020-01-09 09:49:00,11193745.0
2020-01-09 09:50:00,10908285.0
2020-01-09 09:51:00,11142839.0
2020-01-09 09:52:00,11263805.0
2020-01-09 09:53:00,11511568.0
2020-01-09 09:54:00,11385065.0
2020-01-09 09:55:00,11541260.0
2020-01-09 09:56:00,11418707.0
2020-01-09 09:57:00,11330133.0
2020-01-09 09:58:00,11181857.0
2020-01-09 09:59:00,11303848.0
2020-01-09 10:00:00,11428542.0
2020-01-09 10:01:00,11237318.0
2020-01-09 10:02:00,11057153.0
2020-01-09 10:03:00,11211028.0
2020-01-09 10:04:00,11347736.0
2020-01-09 10:05:00,11442414.0
2020-01-09 10:06:00,11541470.0
2020-01-09 10:07:00,11430389.0
2020-01-09 10:08:00,11369411.0
2020-01-09 10:09:00,11308946.0
2020-01-09 10:10:00,11212524.0
2020-01-09 10:11:00,11310103.0
2020-01-09 10:12:00,11195520.0
2020-01-09 10:13:00,11303072.0
2020-01-09 10:14:00,11439393.0
2020-01-09 10:15:00,11342410.0
2020-01-09 10:16:00,11226093.0
2020-01-09 10:17:00,11326763.0
2020-01-09 10:18:00,11214804.0
2020-01-09 10:19:00,11413334.0
2020-01-09 10:20:00,11498708.0
2020-01-09 10:21:00,11404366.0
2020-01-09 10:22:00,11320849.0
2020-01-09 10:23:00,11250443.0
2020-01-09 10:24:00,11163265.0
2020-01-09 10:25:00,11229497.0
2020-01-09 10:26:00,11136707.0
2020-01-09 10:27:00,11029684.0
2020-01-09 10:28:00,11076088.0
2020-01-09 10:29:00,11143577.0
2020-01-09 10:30:00,11096201.0
2020-01-09 10:31:00,11151608.0
2020-01-09 10:32:00,11207205.0
2020-01-09 10:33:00,11159253.0
2020-01-09 10:34:00,11209546.0
2020-01-09 10:35:00,11264295.0
2020-01-09 10:36:00,11151492.0
2020-01-09 10:37:00,11027594.0
2020-01-09 10:38:00,11087957.0
2020-01-09 10:39:00,11161654.0
2020-01-09 10:40:00,11305643.0
2020-01-09 10:41:00,11364073.0
2020-01-09 10:42:00,11558292.0
2020-01-09 10:43:00,11640056.0
2020-01-09 10:44:00,11556288.0
2020-01-09 10:45:00,11615475.0
2020-01-09 10:46:00,11554492.0
2020-01-09 10:47:00,11604738.0
2020-01-09 10:48:00,11571225.0
2020-01-09 10:49:00,11646844.0
2020-01-09 10:50:00,11840324.0
2020-01-09 10:51:00,11689957.0
2020-01-09 10:52:00,11689957.0
2020-01-09 10:53:00,11769372.0
2020-01-09 10:54:00,11871717.0
2020-01-09 10:55:00,11787716.0
2020-01-09 10:56:00,11885896.0
2020-01-09 10:57:00,11998002.0
2020-01-09 10:58:00,12094993.0
2020-01-09 10:59:00,12143440.0
2020-01-09 11:00:00,12008398.0
2020-01-09 11:02:00,11684877.0
2020-01-09 11:03:00,11737369.0
2020-01-09 11:04:00,11664536.0
2020-01-09 11:05:00,11598094.0
2020-01-09 11:06:00,11677765.0
2020-01-09 11:07:00,11715966.0
2020-01-09 11:08:00,11666599.0
2020-01-09 11:09:00,11732354.0
2020-01-09 11:10:00,11788045.0
2020-01-09 11:11:00,11739014.0
2020-01-09 11:12:00,11770703.0
2020-01-09 11:13:00,11892154.0
2020-01-09 11:14:00,11982911.0
2020-01-09 11:15:00,12083590.0
2020-01-09 11:16:00,11997459.0
2020-01-09 11:17:00,12122911.0
2020-01-09 11:18:00,12064702.0
2020-01-09 11:19:00,12177912.0
2020-01-09 11:20:00,12295034.0
2020-01-09 11:21:00,12411347.0
2020-01-09 11:22:00,12249181.0
2020-01-09 11:23:00,11957548.0
2020-01-09 11:24:00,11662083.0
2020-01-09 11:25:00,11553743.0
2020-01-09 11:26:00,11539779.0
2020-01-09 11:27:00,11719251.0
2020-01-09 11:28:00,11751315.0
2020-01-09 11:29:00,11915190.0
2020-01-09 11:30:00,11996911.0
2020-01-09 11:31:00,12174307.0
2020-01-09 11:32:00,11978919.0
2020-01-09 11:33:00,12033346.0
2020-01-09 11:34:00,11958906.0
2020-01-09 11:35:00,11869184.0
2020-01-09 11:36:00,11908896.0
2020-01-09 11:37:00,12018818.0
2020-01-09 11:38:00,11954193.0
2020-01-09 11:39:00,11999562.0
2020-01-09 11:40:00,11932904.0
2020-01-09 11:41:00,11849489.0
2020-01-09 11:42:00,11924690.0
2020-01-09 11:43:00,11976878.0
2020-01-09 11:44:00,12039882.0
2020-01-09 11:45:00,11987770.0
2020-01-09 11:46:00,11922044.0
