date,VWAP
2020-01-13 13:55:00,507.4375
2020-01-13 13:56:00,507.4448
2020-01-13 13:57:00,507.465
2020-01-13 13:58:00,507.4866
2020-01-13 13:59:00,507.4953
2020-01-13 14:00:00,507.5203
2020-01-13 14:01:00,507.5393
2020-01-13 14:02:00,507.5511
2020-01-13 14:03:00,507.5785
2020-01-13 14:04:00,507.5987
2020-01-13 14:05:00,507.6121
2020-01-13 14:06:00,507.6263
2020-01-13 14:07:00,507.6357
2020-01-13 14:08:00,507.6481
2020-01-13 14:09:00,507.678
2020-01-13 14:10:00,507.7071
2020-01-13 14:11:00,507.7367
2020-01-13 14:12:00,507.7489
2020-01-13 14:13:00,507.7638
2020-01-13 14:14:00,507.7753
2020-01-13 14:15:00,507.7903
2020-01-13 14:16:00,507.8028
2020-01-13 14:17:00,507.8136
2020-01-13 14:18:00,507.8254
2020-01-13 14:19:00,507.854
2020-01-13 14:20:00,507.8684
2020-01-13 14:21:00,507.8799
2020-01-13 14:22:00,507.8942
2020-01-13 14:23:00,507.9143
2020-01-13 14:24:00,507.9245
2020-01-13 14:25:00,507.939
2020-01-13 14:26:00,507.9478
2020-01-13 14:27:00,507.9642
2020-01-13 14:28:00,507.9782
2020-01-13 14:29:00,507.9844
2020-01-13 14:30:00,507.997
2020-01-13 14:31:00,508.005
2020-01-13 14:32:00,508.0205
2020-01-13 14:33:00,508.0373
2020-01-13 14:34:00,508.0537
2020-01-13 14:35:00,508.0709
2020-01-13 14:36:00,508.0887
2020-01-13 14:37:00,508.0957
2020-01-13 14:38:00,508.1021
2020-01-13 14:39:00,508.1124
2020-01-13 14:40:00,508.1214
2020-01-13 14:41:00,508.1352
2020-01-13 14:42:00,508.1455
2020-01-13 14:43:00,508.1697
2020-01-13 14:44:00,508.181
2020-01-13 14:45:00,508.1918
2020-01-13 14:46:00,508.2079
2020-01-13 14:47:00,508.2187
2020-01-13 14:48:00,508.2306
2020-01-13 14:49:00,508.2366
2020-01-13 14:50:00,508.2471
2020-01-13 14:51:00,508.2653
2020-01-13 14:52:00,508.2884
2020-01-13 14:53:00,508.3297
2020-01-13 14:54:00,508.3592
2020-01-13 14:55:00,508.3863
2020-01-13 14:56:00,508.402
2020-01-13 14:57:00,508.4211
2020-01-13 14:58:00,508.438
2020-01-13 14:59:00,508.4477
2020-01-13 15:00:00,508.457
2020-01-13 15:01:00,508.4697
2020-01-13 15:02:00,508.4802
2020-01-13 15:03:00,508.4899
2020-01-13 15:04:00,508.5123
2020-01-13 15:05:00,508.528
2020-01-13 15:06:00,508.5382
2020-01-13 15:07:00,508.5526
2020-01-13 15:08:00,508.5671
2020-01-13 15:09:00,508.5807
2020-01-13 15:10:00,508.5975
2020-01-13 15:11:00,508.6135
2020-01-13 15:12:00,508.6236
2020-01-13 15:13:00,508.6456
2020-01-13 15:14:00,508.6621
2020-01-13 15:15:00,508.6763
2020-01-13 15:16:00,508.6906
2020-01-13 15:17:00,508.7057
2020-01-13 15:18:00,508.7285
2020-01-13 15:19:00,508.7486
2020-01-13 15:20:00,508.7719
2020-01-13 15:21:00,508.7819
2020-01-13 15:22:00,508.8013
2020-01-13 15:23:00,508.8173
2020-01-13 15:24:00,508.8485
2020-01-13 15:25:00,508.8692
2020-01-13 15:26:00,508.8856
2020-01-13 15:27:00,508.9021
2020-01-13 15:28:00,508.9319
2020-01-13 15:29:00,508.949
2020-01-13 15:30:00,508.9887
2020-01-13 15:31:00,509.033
2020-01-13 15:32:00,509.0912
2020-01-13 15:33:00,509.1114
2020-01-13 15:34:00,509.135
2020-01-13 15:35:00,509.1691
2020-01-13 15:36:00,509.232
2020-01-13 15:37:00,509.2821
2020-01-13 15:38:00,509.3119
2020-01-13 15:39:00,509.3753
2020-01-13 15:40:00,509.449
2020-01-13 15:41:00,509.4869
2020-01-13 15:42:00,509.5162
2020-01-13 15:43:00,509.5532
2020-01-13 15:44:00,509.6127
2020-01-13 15:45:00,509.672
2020-01-13 15:46:00,509.7347
2020-01-13 15:47:00,509.8114
2020-01-13 15:48:00,509.8813
2020-01-13 15:49:00,509.952
2020-01-13 15:50:00,510.0023
