date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-15 14:23:00,313.2951,312.3018,314.2884
2020-01-15 14:24:00,313.2808,312.3049,314.2568
2020-01-15 14:25:00,313.2659,312.304,314.2278
2020-01-15 14:26:00,313.2505,312.3086,314.1923
2020-01-15 14:27:00,313.238,312.3122,314.1637
2020-01-15 14:28:00,313.2262,312.3168,314.1355
2020-01-15 14:29:00,313.2145,312.3233,314.1057
2020-01-15 14:30:00,313.204,312.3331,314.0749
2020-01-15 14:31:00,313.1907,312.353,314.0283
2020-01-15 14:32:00,313.1755,312.3796,313.9714
2020-01-15 14:33:00,313.1605,312.405,313.9161
2020-01-15 14:34:00,313.1567,312.4072,313.9062
2020-01-15 14:35:00,313.1547,312.4094,313.9
2020-01-15 14:36:00,313.1527,312.4125,313.893
2020-01-15 14:37:00,313.1475,312.4207,313.8744
2020-01-15 14:38:00,313.1445,312.4269,313.8622
2020-01-15 14:39:00,313.146,312.4231,313.8689
2020-01-15 14:40:00,313.144,312.4273,313.8608
2020-01-15 14:41:00,313.142,312.4315,313.8525
2020-01-15 14:42:00,313.1392,312.4359,313.8426
2020-01-15 14:43:00,313.1375,312.4391,313.8359
2020-01-15 14:44:00,313.1371,312.4395,313.8348
2020-01-15 14:45:00,313.1429,312.4363,313.8496
2020-01-15 14:46:00,313.1499,312.4321,313.8677
2020-01-15 14:47:00,313.1549,312.4297,313.88
2020-01-15 14:48:00,313.1577,312.4287,313.8867
2020-01-15 14:49:00,313.1592,312.4285,313.8899
2020-01-15 14:50:00,313.1622,312.4283,313.896
2020-01-15 14:51:00,313.163,312.4288,313.8972
2020-01-15 14:52:00,313.1701,312.4384,313.9019
2020-01-15 14:53:00,313.1814,312.46,313.9028
2020-01-15 14:54:00,313.1991,312.5047,313.8935
2020-01-15 14:55:00,313.2199,312.5669,313.8728
2020-01-15 14:56:00,313.24,312.6299,313.8502
2020-01-15 14:57:00,313.2555,312.6759,313.8352
2020-01-15 14:58:00,313.2697,312.7388,313.8006
2020-01-15 14:59:00,313.2824,312.8065,313.7583
2020-01-15 15:00:00,313.2874,312.8318,313.7429
2020-01-15 15:01:00,313.2906,312.8497,313.7315
2020-01-15 15:02:00,313.2919,312.8566,313.7272
2020-01-15 15:03:00,313.2906,312.8502,313.7311
2020-01-15 15:04:00,313.2897,312.8461,313.7333
2020-01-15 15:05:00,313.2852,312.8267,313.7437
2020-01-15 15:06:00,313.2808,312.8049,313.7567
2020-01-15 15:07:00,313.2755,312.7809,313.7701
2020-01-15 15:08:00,313.2692,312.7569,313.7815
2020-01-15 15:09:00,313.2617,312.7299,313.7936
2020-01-15 15:10:00,313.2461,312.6729,313.8192
2020-01-15 15:11:00,313.2341,312.6392,313.8291
2020-01-15 15:12:00,313.2186,312.5856,313.8515
2020-01-15 15:13:00,313.1976,312.5005,313.8946
2020-01-15 15:14:00,313.1809,312.4457,313.9161
2020-01-15 15:15:00,313.1658,312.4,313.9316
2020-01-15 15:16:00,313.148,312.3382,313.9579
2020-01-15 15:17:00,313.1277,312.2605,313.9948
2020-01-15 15:18:00,313.1103,312.2034,314.0173
2020-01-15 15:19:00,313.0881,312.1193,314.0569
2020-01-15 15:20:00,313.0667,312.0525,314.0809
2020-01-15 15:21:00,313.0469,311.9957,314.0981
2020-01-15 15:22:00,313.0234,311.9233,314.1235
2020-01-15 15:23:00,312.9982,311.8449,314.1515
2020-01-15 15:24:00,312.9711,311.759,314.1831
2020-01-15 15:25:00,312.9458,311.6796,314.212
2020-01-15 15:26:00,312.9202,311.6068,314.2337
2020-01-15 15:27:00,312.8904,311.5209,314.2599
2020-01-15 15:28:00,312.856,311.4173,314.2947
2020-01-15 15:29:00,312.8198,311.3116,314.3279
2020-01-15 15:30:00,312.7853,311.2305,314.34
2020-01-15 15:31:00,312.7438,311.1185,314.3692
2020-01-15 15:32:00,312.7013,311.0036,314.399
2020-01-15 15:33:00,312.6497,310.836,314.4634
2020-01-15 15:34:00,312.5887,310.6314,314.5459
2020-01-15 15:35:00,312.533,310.4943,314.5717
2020-01-15 15:36:00,312.4842,310.4062,314.5621
