date,SMA
2020-06-10 11:24:00,4.0382
2020-06-10 11:25:00,4.032
2020-06-10 11:26:00,4.0232
2020-06-10 11:27:00,4.0144
2020-06-10 11:28:00,4.0106
2020-06-10 11:29:00,4.0062
2020-06-10 11:30:00,4.0038
2020-06-10 11:31:00,4.0042
2020-06-10 11:32:00,4.006
2020-06-10 11:33:00,4.0122
2020-06-10 11:34:00,4.0196
2020-06-10 11:35:00,4.0259
2020-06-10 11:36:00,4.0274
2020-06-10 11:37:00,4.0293
2020-06-10 11:38:00,4.0243
2020-06-10 11:39:00,4.0215
2020-06-10 11:40:00,4.0183
2020-06-10 11:41:00,4.0178
2020-06-10 11:42:00,4.0154
2020-06-10 11:43:00,4.0137
2020-06-10 11:44:00,4.0128
2020-06-10 11:45:00,4.0103
2020-06-10 11:46:00,4.0119
2020-06-10 11:47:00,4.0144
2020-06-10 11:48:00,4.0157
2020-06-10 11:49:00,4.0149
2020-06-10 11:50:00,4.017
2020-06-10 11:51:00,4.0249
2020-06-10 11:52:00,4.0337
2020-06-10 11:53:00,4.0437
2020-06-10 11:54:00,4.0545
2020-06-10 11:55:00,4.0658
2020-06-10 11:56:00,4.0886
2020-06-10 11:57:00,4.1154
2020-06-10 11:58:00,4.1396
2020-06-10 11:59:00,4.1556
2020-06-10 12:00:00,4.1681
2020-06-10 12:01:00,4.1756
2020-06-10 12:02:00,4.1869
2020-06-10 12:03:00,4.1994
2020-06-10 12:04:00,4.2022
2020-06-10 12:05:00,4.2005
2020-06-10 12:06:00,4.193
2020-06-10 12:07:00,4.1896
2020-06-10 12:08:00,4.1861
2020-06-10 12:09:00,4.1873
2020-06-10 12:10:00,4.1836
2020-06-10 12:11:00,4.171
2020-06-10 12:12:00,4.1517
2020-06-10 12:13:00,4.1364
