date,VWAP
2020-01-14 15:33:00,163.0095
2020-01-14 15:34:00,163.0079
2020-01-14 15:35:00,163.0069
2020-01-14 15:36:00,163.0048
2020-01-14 15:37:00,163.0032
2020-01-14 15:38:00,163.0015
2020-01-14 15:39:00,162.9998
2020-01-14 15:40:00,162.9974
2020-01-14 15:41:00,162.9952
2020-01-14 15:42:00,162.9933
2020-01-14 15:43:00,162.9912
2020-01-14 15:44:00,162.9895
2020-01-14 15:45:00,162.9881
2020-01-14 15:46:00,162.9865
2020-01-14 15:47:00,162.985
2020-01-14 15:48:00,162.9832
2020-01-14 15:49:00,162.9802
2020-01-14 15:50:00,162.9772
2020-01-14 15:51:00,162.9517
2020-01-14 15:52:00,162.9433
2020-01-14 15:53:00,162.9299
2020-01-14 15:54:00,162.9244
2020-01-14 15:55:00,162.9166
2020-01-14 15:56:00,162.9053
2020-01-14 15:57:00,162.8957
2020-01-14 15:58:00,162.8891
2020-01-14 15:59:00,162.8815
2020-01-14 16:00:00,162.8636
2020-01-15 09:31:00,162.63
2020-01-15 09:32:00,162.6363
2020-01-15 09:33:00,162.6444
2020-01-15 09:34:00,162.7001
2020-01-15 09:35:00,162.7154
2020-01-15 09:36:00,162.7458
2020-01-15 09:37:00,162.763
2020-01-15 09:38:00,162.7792
2020-01-15 09:39:00,162.7973
2020-01-15 09:40:00,162.8292
2020-01-15 09:41:00,162.8536
2020-01-15 09:42:00,162.8776
2020-01-15 09:43:00,162.8922
2020-01-15 09:44:00,162.902
2020-01-15 09:45:00,162.921
2020-01-15 09:46:00,162.9353
2020-01-15 09:47:00,162.9425
2020-01-15 09:48:00,162.9455
2020-01-15 09:49:00,162.9489
2020-01-15 09:50:00,162.9549
2020-01-15 09:51:00,162.9594
2020-01-15 09:52:00,162.9662
2020-01-15 09:53:00,162.9684
2020-01-15 09:54:00,162.9691
2020-01-15 09:55:00,162.9732
2020-01-15 09:56:00,162.975
2020-01-15 09:57:00,162.9768
2020-01-15 09:58:00,162.979
2020-01-15 09:59:00,162.9816
2020-01-15 10:00:00,162.9914
2020-01-15 10:01:00,162.9963
2020-01-15 10:02:00,163.0003
2020-01-15 10:03:00,163.0044
2020-01-15 10:04:00,163.0079
2020-01-15 10:05:00,163.0088
2020-01-15 10:06:00,163.0109
2020-01-15 10:07:00,163.016
2020-01-15 10:08:00,163.0201
2020-01-15 10:09:00,163.0235
2020-01-15 10:10:00,163.0283
2020-01-15 10:11:00,163.0351
2020-01-15 10:12:00,163.0381
2020-01-15 10:13:00,163.0422
2020-01-15 10:14:00,163.0451
2020-01-15 10:15:00,163.0462
2020-01-15 10:16:00,163.0487
2020-01-15 10:17:00,163.0502
2020-01-15 10:18:00,163.0529
2020-01-15 10:19:00,163.058
2020-01-15 10:20:00,163.0609
2020-01-15 10:21:00,163.0627
2020-01-15 10:22:00,163.0646
2020-01-15 10:23:00,163.066
2020-01-15 10:24:00,163.0689
2020-01-15 10:25:00,163.071
2020-01-15 10:26:00,163.0742
2020-01-15 10:27:00,163.0788
2020-01-15 10:28:00,163.083
2020-01-15 10:29:00,163.0863
2020-01-15 10:30:00,163.1043
2020-01-15 10:31:00,163.1195
2020-01-15 10:32:00,163.1226
2020-01-15 10:33:00,163.1241
2020-01-15 10:34:00,163.1272
2020-01-15 10:35:00,163.131
2020-01-15 10:36:00,163.1355
2020-01-15 10:37:00,163.1396
